AreaInPixels,PhysicalSize,Polygon
131,131,[108260.0:44001.0:108259.0:44002.0:108249.0:44002.0:108250.0:44003.0:108252.0:44003.0:108253.0:44004.0:108253.0:44006.0:108255.0:44008.0:108256.0:44008.0:108259.0:44011.0:108260.0:44011.0:108261.0:44012.0:108263.0:44012.0:108264.0:44011.0:108264.0:44010.0:108265.0:44009.0:108265.0:44007.0:108267.0:44005.0:108266.0:44004.0:108267.0:44003.0:108267.0:44002.0:108263.0:44002.0:108262.0:44001.0]
485,485,[108478.0:44001.0:108477.0:44002.0:108468.0:44002.0:108468.0:44003.0:108470.0:44005.0:108470.0:44006.0:108471.0:44007.0:108471.0:44008.0:108470.0:44009.0:108469.0:44009.0:108469.0:44010.0:108468.0:44011.0:108468.0:44015.0:108471.0:44018.0:108471.0:44020.0:108472.0:44021.0:108473.0:44021.0:108476.0:44024.0:108481.0:44024.0:108483.0:44022.0:108484.0:44022.0:108485.0:44021.0:108486.0:44021.0:108489.0:44018.0:108490.0:44018.0:108491.0:44017.0:108492.0:44017.0:108496.0:44013.0:108496.0:44012.0:108495.0:44011.0:108495.0:44009.0:108492.0:44006.0:108488.0:44006.0:108486.0:44004.0:108486.0:44002.0:108481.0:44002.0:108480.0:44001.0]
64,64,[108660.0:44001.0:108659.0:44002.0:108659.0:44003.0:108661.0:44005.0:108661.0:44008.0:108665.0:44008.0:108668.0:44005.0:108668.0:44004.0:108669.0:44003.0:108670.0:44003.0:108671.0:44002.0:108672.0:44002.0:108663.0:44002.0:108662.0:44001.0]
42,42,[108684.0:44001.0:108683.0:44002.0:108681.0:44002.0:108681.0:44005.0:108682.0:44005.0:108683.0:44006.0:108685.0:44006.0:108686.0:44005.0:108687.0:44005.0:108688.0:44004.0:108689.0:44004.0:108690.0:44003.0:108690.0:44002.0:108687.0:44002.0:108686.0:44001.0]
57,57,[108718.0:44001.0:108717.0:44002.0:108714.0:44002.0:108710.0:44006.0:108710.0:44008.0:108711.0:44009.0:108716.0:44004.0:108719.0:44004.0:108720.0:44003.0:108726.0:44003.0:108727.0:44002.0:108721.0:44002.0:108720.0:44001.0]
22,22,[109670.0:44001.0:109669.0:44002.0:109670.0:44003.0:109671.0:44003.0:109672.0:44004.0:109672.0:44006.0:109674.0:44006.0:109674.0:44004.0:109673.0:44003.0:109674.0:44002.0:109673.0:44002.0:109672.0:44001.0]
30,30,[111643.0:44001.0:111642.0:44002.0:111641.0:44002.0:111642.0:44003.0:111642.0:44005.0:111643.0:44006.0:111643.0:44007.0:111644.0:44007.0:111645.0:44006.0:111645.0:44004.0:111646.0:44003.0:111647.0:44003.0:111648.0:44002.0:111646.0:44002.0:111645.0:44001.0]
92,92,[111955.0:44001.0:111954.0:44002.0:111949.0:44002.0:111951.0:44004.0:111951.0:44005.0:111952.0:44006.0:111952.0:44007.0:111955.0:44010.0:111958.0:44010.0:111961.0:44007.0:111961.0:44005.0:111962.0:44004.0:111962.0:44003.0:111963.0:44002.0:111958.0:44002.0:111957.0:44001.0]
125,125,[108374.0:44002.0:108374.0:44003.0:108375.0:44004.0:108375.0:44005.0:108376.0:44006.0:108376.0:44007.0:108378.0:44009.0:108379.0:44009.0:108380.0:44010.0:108384.0:44010.0:108385.0:44009.0:108387.0:44009.0:108388.0:44008.0:108389.0:44008.0:108389.0:44006.0:108390.0:44005.0:108390.0:44004.0:108392.0:44002.0]
388,388,[109529.0:44002.0:109529.0:44003.0:109527.0:44005.0:109527.0:44006.0:109525.0:44008.0:109525.0:44009.0:109524.0:44010.0:109524.0:44014.0:109523.0:44015.0:109523.0:44016.0:109524.0:44017.0:109530.0:44017.0:109531.0:44018.0:109532.0:44017.0:109533.0:44017.0:109534.0:44016.0:109534.0:44015.0:109535.0:44014.0:109535.0:44013.0:109536.0:44012.0:109537.0:44012.0:109538.0:44011.0:109539.0:44011.0:109540.0:44012.0:109541.0:44012.0:109542.0:44013.0:109548.0:44013.0:109549.0:44012.0:109552.0:44012.0:109555.0:44009.0:109555.0:44004.0:109556.0:44003.0:109556.0:44002.0]
1716,1716,[109603.0:44002.0:109603.0:44003.0:109604.0:44004.0:109604.0:44007.0:109605.0:44008.0:109605.0:44010.0:109606.0:44011.0:109606.0:44013.0:109604.0:44015.0:109604.0:44016.0:109603.0:44017.0:109604.0:44018.0:109604.0:44020.0:109606.0:44022.0:109606.0:44023.0:109607.0:44024.0:109607.0:44025.0:109608.0:44026.0:109609.0:44026.0:109612.0:44029.0:109614.0:44029.0:109621.0:44036.0:109628.0:44036.0:109629.0:44035.0:109634.0:44035.0:109635.0:44036.0:109636.0:44036.0:109639.0:44039.0:109639.0:44040.0:109640.0:44040.0:109644.0:44044.0:109649.0:44044.0:109650.0:44043.0:109651.0:44043.0:109652.0:44042.0:109653.0:44042.0:109656.0:44039.0:109656.0:44038.0:109658.0:44036.0:109658.0:44029.0:109657.0:44028.0:109657.0:44024.0:109656.0:44023.0:109656.0:44020.0:109655.0:44019.0:109655.0:44018.0:109654.0:44017.0:109654.0:44015.0:109653.0:44014.0:109653.0:44011.0:109650.0:44008.0:109650.0:44007.0:109649.0:44006.0:109648.0:44006.0:109647.0:44005.0:109644.0:44005.0:109643.0:44004.0:109637.0:44004.0:109636.0:44005.0:109634.0:44005.0:109633.0:44006.0:109631.0:44006.0:109630.0:44005.0:109629.0:44005.0:109628.0:44004.0:109630.0:44002.0:109635.0:44002.0]
502,502,[110449.0:44002.0:110449.0:44007.0:110450.0:44008.0:110450.0:44009.0:110451.0:44009.0:110452.0:44010.0:110453.0:44010.0:110454.0:44011.0:110455.0:44011.0:110456.0:44012.0:110458.0:44012.0:110459.0:44013.0:110462.0:44013.0:110463.0:44014.0:110464.0:44014.0:110465.0:44015.0:110471.0:44015.0:110472.0:44014.0:110474.0:44014.0:110475.0:44015.0:110485.0:44015.0:110488.0:44012.0:110488.0:44010.0:110489.0:44009.0:110489.0:44002.0]
739,739,[111831.0:44002.0:111832.0:44003.0:111832.0:44005.0:111833.0:44006.0:111833.0:44007.0:111839.0:44013.0:111840.0:44013.0:111845.0:44018.0:111846.0:44018.0:111851.0:44023.0:111852.0:44023.0:111854.0:44025.0:111855.0:44025.0:111862.0:44032.0:111862.0:44033.0:111864.0:44035.0:111864.0:44036.0:111867.0:44039.0:111867.0:44040.0:111876.0:44049.0:111877.0:44048.0:111877.0:44047.0:111879.0:44045.0:111879.0:44044.0:111878.0:44043.0:111878.0:44042.0:111877.0:44041.0:111877.0:44040.0:111875.0:44038.0:111875.0:44037.0:111874.0:44037.0:111873.0:44036.0:111873.0:44035.0:111872.0:44034.0:111873.0:44033.0:111873.0:44032.0:111875.0:44030.0:111874.0:44029.0:111874.0:44027.0:111860.0:44013.0:111859.0:44013.0:111855.0:44009.0:111855.0:44008.0:111854.0:44007.0:111853.0:44007.0:111852.0:44006.0:111851.0:44006.0:111847.0:44002.0]
351,351,[111869.0:44002.0:111869.0:44004.0:111868.0:44005.0:111868.0:44006.0:111869.0:44007.0:111869.0:44009.0:111870.0:44010.0:111870.0:44011.0:111872.0:44013.0:111872.0:44014.0:111874.0:44016.0:111876.0:44016.0:111877.0:44017.0:111879.0:44017.0:111880.0:44018.0:111882.0:44018.0:111883.0:44019.0:111887.0:44019.0:111888.0:44018.0:111890.0:44018.0:111891.0:44017.0:111891.0:44007.0:111890.0:44006.0:111890.0:44005.0:111889.0:44004.0:111889.0:44002.0]
22,22,[109670.0:44001.0:109669.0:44002.0:109670.0:44003.0:109671.0:44003.0:109672.0:44004.0:109672.0:44006.0:109674.0:44006.0:109674.0:44004.0:109673.0:44003.0:109674.0:44002.0:109673.0:44002.0:109672.0:44001.0]
188,188,[111666.0:44002.0:111666.0:44005.0:111667.0:44006.0:111667.0:44007.0:111669.0:44009.0:111670.0:44009.0:111671.0:44010.0:111676.0:44010.0:111677.0:44011.0:111680.0:44011.0:111681.0:44010.0:111684.0:44010.0:111685.0:44009.0:111685.0:44006.0:111687.0:44004.0:111688.0:44004.0:111690.0:44006.0:111690.0:44005.0:111691.0:44004.0:111690.0:44004.0:111688.0:44002.0]
61,61,[109592.0:44002.0:109592.0:44007.0:109593.0:44008.0:109593.0:44009.0:109597.0:44013.0:109599.0:44013.0:109600.0:44012.0:109600.0:44011.0:109599.0:44010.0:109599.0:44009.0:109596.0:44006.0:109596.0:44005.0:109595.0:44004.0:109595.0:44002.0]
